:EID,:SRC,:DST
4911586149778420,49115861,49778426
4911586149808960,49115861,49808964
4909335749085420,49093357,49085424
4909335749093350,49093357,49093357
4909335749098740,49093357,49098745
4909335749100320,49093357,49100320
4909335749101950,49093357,49101956
4909335749103610,49093357,49103614
4909335749109770,49093357,49109772
4909335749120360,49093357,49120368
4909335749292590,49093357,49292590
4909335749778420,49093357,49778426
4909335749781370,49093357,49781375
4909696448974790,49096964,48974792
4909696449292590,49096964,49292590
4909874548974790,49098745,48974792
4909874549085420,49098745,49085424
4909874549093350,49098745,49093357
4909874549098740,49098745,49098745
4909874549100320,49098745,49100320
4909874549101950,49098745,49101956
4909874549109770,49098745,49109772
4909874549120360,49098745,49120368
4909874549292590,49098745,49292590
4909874549778420,49098745,49778426
4910032048974790,49100320,48974792
4910032049085420,49100320,49085424
4910032049093350,49100320,49093357
4910032049098740,49100320,49098745
4910032049100320,49100320,49100320
4910032049101950,49100320,49101956
4910032049105710,49100320,49105710
4910032049109770,49100320,49109772
4910032049115860,49100320,49115861
4910032049120360,49100320,49120368
4910032049292590,49100320,49292590
4910032049778420,49100320,49778426
4910195648974790,49101956,48974792
4910195649085420,49101956,49085424
4910195649093350,49101956,49093357
4910195649098740,49101956,49098745
4910195649100320,49101956,49100320
4910195649101950,49101956,49101956
4910195649109770,49101956,49109772
4910195649120360,49101956,49120368
4910195649292590,49101956,49292590
4910195649778420,49101956,49778426
4910361448974790,49103614,48974792
4910361449085420,49103614,49085424
4910361449093350,49103614,49093357
4910361449098740,49103614,49098745
4910361449100320,49103614,49100320
4910361449101950,49103614,49101956
4910361449109770,49103614,49109772
4910361449292590,49103614,49292590
4910361449778420,49103614,49778426
4910571048974790,49105710,48974792
4910571049085420,49105710,49085424
4910571049093350,49105710,49093357
4910571049098740,49105710,49098745
4910571049100320,49105710,49100320
4910571049101950,49105710,49101956
4910571049107840,49105710,49107848
4910571049109770,49105710,49109772
4910571049120360,49105710,49120368
4910571049292590,49105710,49292590
4910571049778420,49105710,49778426
4910784848974790,49107848,48974792
4910784849085420,49107848,49085424
4910784849093350,49107848,49093357
4910784849098740,49107848,49098745
4910784849100320,49107848,49100320
4910784849101950,49107848,49101956
4910784849105710,49107848,49105710
4910784849109770,49107848,49109772
4910784849115860,49107848,49115861
4910784849120360,49107848,49120368
4910784849250020,49107848,49250028
4910784849292590,49107848,49292590
4910784849427860,49107848,49427867
4910784849778420,49107848,49778426
4910784849808960,49107848,49808964
4910977248974790,49109772,48974792
4910977249085420,49109772,49085424
4910977249093350,49109772,49093357
4910977249098740,49109772,49098745
4910977249100320,49109772,49100320
4910977249101950,49109772,49101956
4910977249109770,49109772,49109772
4910977249120360,49109772,49120368
4910977249292590,49109772,49292590
4910977249778420,49109772,49778426
4911151948974790,49111519,48974792
4911151949111510,49111519,49111519
4911151949245620,49111519,49245622
4911151949292590,49111519,49292590
4911586148885670,49115861,48885670
4911586148974790,49115861,48974792
4911586149085420,49115861,49085424
4911586149093350,49115861,49093357
4911586149098740,49115861,49098745
4911586149100320,49115861,49100320
4911586149101950,49115861,49101956
4911586149107840,49115861,49107848
4911586149109770,49115861,49109772
4911586149115860,49115861,49115861
4911586149120360,49115861,49120368
4911586149250020,49115861,49250028
4911586149292590,49115861,49292590
4911586149427860,49115861,49427867
4911586149439360,49115861,49439369
4911860148861540,49118601,48861540
4911860149292590,49118601,49292590
4912036848974790,49120368,48974792
4912036849085420,49120368,49085424
4912036849093350,49120368,49093357
4912036849098740,49120368,49098745
4912036849100320,49120368,49100320
4912036849101950,49120368,49101956
4912036849105710,49120368,49105710
4912036849107840,49120368,49107848
4912036849109770,49120368,49109772
4912036849115860,49120368,49115861
4912036849120360,49120368,49120368
4912036849292590,49120368,49292590
4912036849778420,49120368,49778426
4912222949174730,49122229,49174736
4912222949292590,49122229,49292590
4912408549285860,49124085,49285867
4912408549292590,49124085,49292590
4912637849292590,49126378,49292590
4912796548868170,49127965,48868171
4912796548974790,49127965,48974792
4912796549140670,49127965,49140676
4912796549250020,49127965,49250028
4912796549292590,49127965,49292590
4912796549808960,49127965,49808964
4913080348865320,49130803,48865325
4913080348919870,49130803,48919878
4913080348949670,49130803,48949670
4913080348974790,49130803,48974792
4913080349126370,49130803,49126378
4913080349130800,49130803,49130803
4913080349134970,49130803,49134970
4913080349140670,49130803,49140676
4913080349214470,49130803,49214477
4913080349250020,49130803,49250028
4913080349292590,49130803,49292590
4913080349808960,49130803,49808964
4913497048949670,49134970,48949670
4913497048974790,49134970,48974792
4913497049126370,49134970,49126378
4913497049130800,49134970,49130803
4913497049140670,49134970,49140676
4913497049214470,49134970,49214477
4913497049250020,49134970,49250028
4913497049292590,49134970,49292590
4913497049808960,49134970,49808964
4913811148974790,49138111,48974792
4913811149171280,49138111,49171285
4913811149292590,49138111,49292590
4914067648865320,49140676,48865325
4914067648868170,49140676,48868171
4914067648885670,49140676,48885670
4914067648974790,49140676,48974792
4914067649130800,49140676,49130803
4914067649250020,49140676,49250028
4914067649292590,49140676,49292590
4914067649808960,49140676,49808964
4914424149292590,49144241,49292590
4914424149374750,49144241,49374751
4914718348974790,49147183,48974792
4914718349292590,49147183,49292590
4914887648974790,49148876,48974792
4914887649147180,49148876,49147183
4914887649292590,49148876,49292590
4915034648974790,49150346,48974792
4915034649292590,49150346,49292590
4915204148974790,49152041,48974792
4915204149292590,49152041,49292590
4915387548974790,49153875,48974792
4915387549292590,49153875,49292590
4887147348931790,48871473,48931792
4887147348974790,48871473,48974792
4887147349155490,48871473,49155494
4887147349292590,48871473,49292590
4887476549292590,48874765,49292590
4887742249292590,48877422,49292590
4887742249373040,48877422,49373049
4887742249374750,48877422,49374751
4887742249833540,48877422,49833548
4887742249841830,48877422,49841836
4887983648974790,48879836,48974792
4887983649292590,48879836,49292590
4887983649310890,48879836,49310895
4888567048909140,48885670,48909146
4888567048914080,48885670,48914086
4888567048916420,48885670,48916425
4888567048919870,48885670,48919878
4888567048925030,48885670,48925030
4888567048928040,48885670,48928046
4888567048941270,48885670,48941274
4888567048955560,48885670,48955569
4888567049140670,48885670,49140676
4888567049174730,48885670,49174736
4888567049217360,48885670,49217363
4888567049250020,48885670,49250028
4888567049273760,48885670,49273765
4888567049288270,48885670,49288271
4888567049292590,48885670,49292590
4888567049304080,48885670,49304086
4888567049386790,48885670,49386796
4888567049396590,48885670,49396593
4888567049427860,48885670,49427867
4888567049512820,48885670,49512821
4888567049808960,48885670,49808964
4889166548974790,48891665,48974792
4889166549292590,48891665,49292590
4889335748909140,48893357,48909146
4889335749292590,48893357,49292590
4889335749374750,48893357,49374751
4894967049292590,48949670,49292590
4895149848974790,48951498,48974792
4895149849292590,48951498,49292590
4895352048865320,48953520,48865325
4895352048974790,48953520,48974792
4895352049292590,48953520,49292590
4895556948974790,48955569,48974792
4895556949292590,48955569,49292590
4895556949374750,48955569,49374751
4895952848974790,48959528,48974792
4895952849292590,48959528,49292590
4896966549124080,48969665,49124085
4896966549292590,48969665,49292590
4897233549126370,48972335,49126378
4897233549292590,48972335,49292590
4897233549374750,48972335,49374751
4897479248885670,48974792,48885670
4897479249264170,48974792,49264179
4897479249292590,48974792,49292590
4897479249423040,48974792,49423041
4898020548974790,48980205,48974792
4898020549292590,48980205,49292590
4898317848974790,48983178,48974792
4898659849292590,48986598,49292590
4898659849385300,48986598,49385303
4889682648909140,48896826,48909146
4889682649292590,48896826,49292590
4889682649374750,48896826,49374751
4890029348896820,48900293,48896826
4890029348909140,48900293,48909146
4890029349292590,48900293,49292590
4890029349374750,48900293,49374751
4890375849292590,48903758,49292590
4890557849292590,48905578,49292590
4890715849292590,48907158,49292590
4890914649221570,48909146,49221578
4890914649292590,48909146,49292590
4891253149292590,48912531,49292590
4891408648974790,48914086,48974792
4891408649292590,48914086,49292590
4891642548974790,48916425,48974792
4891642549292590,48916425,49292590
4891642549374750,48916425,49374751
4891987848974790,48919878,48974792
4891987849292590,48919878,49292590
4891987849374750,48919878,49374751
4892503048974790,48925030,48974792
4892503049292590,48925030,49292590
4892503049778420,48925030,49778426
4892804648974790,48928046,48974792
4892804649292590,48928046,49292590
4893179248974790,48931792,48974792
4893179249292590,48931792,49292590
4893356348865320,48933563,48865325
4893356348974790,48933563,48974792
4893356349292590,48933563,49292590
4893649648865320,48936496,48865325
4893649648933560,48936496,48933563
4893649648974790,48936496,48974792
4893649649292590,48936496,49292590
4893942949126370,48939429,49126378
4893942949292590,48939429,49292590
4893942949374750,48939429,49374751
4894127448885670,48941274,48885670
4894127448919870,48941274,48919878
4894127448974790,48941274,48974792
4894127449250020,48941274,49250028
4894127449292590,48941274,49292590
4894452248865320,48944522,48865325
4894452248953520,48944522,48953520
4894452248974790,48944522,48974792
4894452249292590,48944522,49292590
4894653149250020,48946531,49250028
4894653149292590,48946531,49292590
4894653149808960,48946531,49808964
4894826748974790,48948267,48974792
4894826749292590,48948267,49292590
4885496449292590,48854964,49292590
4885496449374750,48854964,49374751
4885806948974790,48858069,48974792
4885806949292590,48858069,49292590
4885980448974790,48859804,48974792
4885980449292590,48859804,49292590
4886154048974790,48861540,48974792
4886154049292590,48861540,49292590
4886336948974790,48863369,48974792
4886336949292590,48863369,49292590
4886532548974790,48865325,48974792
4886532549130800,48865325,49130803
4886532549140670,48865325,49140676
4886532549250020,48865325,49250028
4886532549292590,48865325,49292590
4886817148931790,48868171,48931792
4886817148974790,48868171,48974792
4886817149130800,48868171,49130803
4886817149292590,48868171,49292590
4907665548865320,49076655,48865325
4907665548974790,49076655,48974792
4907665549292590,49076655,49292590
4907665549374750,49076655,49374751
4908090248919870,49080902,48919878
4908090249292590,49080902,49292590
4908090249374750,49080902,49374751
4908368948974790,49083689,48974792
4908368949292590,49083689,49292590
4908542448974790,49085424,48974792
4908542449085420,49085424,49085424
4908542449093350,49085424,49093357
4908542449098740,49085424,49098745
4908542449100320,49085424,49100320
4908542449101950,49085424,49101956
4908542449109770,49085424,49109772
4908542449115860,49085424,49115861
4908542449120360,49085424,49120368
4908542449292590,49085424,49292590
4908542449532540,49085424,49532547
4908542449778420,49085424,49778426
4908542449808960,49085424,49808964
4908910148974790,49089101,48974792
4908910149292590,49089101,49292590
4909138248974790,49091382,48974792
4909138249089100,49091382,49089101
4909138249292590,49091382,49292590
4909335748974790,49093357,48974792
4915549448871470,49155494,48871473
4915549448931790,49155494,48931792
4915549448974790,49155494,48974792
4915549449292590,49155494,49292590
4915878148974790,49158781,48974792
4915878149292590,49158781,49292590
4916081848974790,49160818,48974792
4916081849130800,49160818,49130803
4916081849140670,49160818,49140676
4916081849163930,49160818,49163933
4916081849250020,49160818,49250028
4916081849292590,49160818,49292590
4916081849374750,49160818,49374751
4916393348974790,49163933,48974792
4916393349130800,49163933,49130803
4916393349140670,49163933,49140676
4916393349250020,49163933,49250028
4916393349292590,49163933,49292590
4916393349374750,49163933,49374751
4916779448974790,49167794,48974792
4916779449127960,49167794,49127965
4916779449130800,49167794,49130803
4916779449140670,49167794,49140676
4916779449144240,49167794,49144241
4916779449250020,49167794,49250028
4916779449292590,49167794,49292590
4916779449374750,49167794,49374751
4916779449808960,49167794,49808964
4917128548974790,49171285,48974792
4917128549292590,49171285,49292590
4917302848974790,49173028,48974792
4917302849153870,49173028,49153875
4917302849292590,49173028,49292590
4917473648919870,49174736,48919878
4917473649126370,49174736,49126378
4917473649206740,49174736,49206742
4917473649292590,49174736,49292590
4917473649341020,49174736,49341029
4918110648919870,49181106,48919878
4918110649126370,49181106,49126378
4918110649174730,49181106,49174736
4918110649206740,49181106,49206742
4918110649292590,49181106,49292590
4918110649341020,49181106,49341029
4899033848974790,48990338,48974792
4899033849292590,48990338,49292590
4899238549036710,48992385,49036716
4899238549292590,48992385,49292590
4899238549532540,48992385,49532547
4899536749126370,48995367,49126378
4899536749292590,48995367,49292590
4899536749374750,48995367,49374751
4899709049126370,48997090,49126378
4899709049292590,48997090,49292590
4899709049374750,48997090,49374751
4899877848974790,48998778,48974792
4899877849292590,48998778,49292590
4900048448974790,49000484,48974792
4900048449292590,49000484,49292590
4900048449374750,49000484,49374751
4900327649000480,49003276,49000484
4900327649036710,49003276,49036716
4900327649126370,49003276,49126378
4900327649292590,49003276,49292590
4900327649374750,49003276,49374751
4948073349292590,49480733,49292590
4948073349642330,49480733,49642334
4948338948974790,49483389,48974792
4948338949292590,49483389,49292590
4948607648992380,49486076,48992385
4948607649017550,49486076,49017550
4948607649056010,49486076,49056017
4948607649063940,49486076,49063944
4948607649292590,49486076,49292590
4948926449292590,49489264,49292590
4948926449396590,49489264,49396593
4948926449836440,49489264,49836442
4949391049292590,49493910,49292590
4949391049373040,49493910,49373049
4949683348974790,49496833,48974792
4949683349292590,49496833,49292590
4949925348974790,49499253,48974792
4949925349292590,49499253,49292590
4950196248974790,49501962,48974792
4950196249292590,49501962,49292590
4950196249374750,49501962,49374751
4950196249458890,49501962,49458898
4950611149292590,49506111,49292590
4950611149415410,49506111,49415419
4950775349292590,49507753,49292590
4950775349415410,49507753,49415419
4950915249013240,49509152,49013244
4950915249056010,49509152,49056017
4950915249063940,49509152,49063944
4950915249250020,49509152,49250028
4950915249410800,49509152,49410801
4950915249476540,49509152,49476540
4951282148974790,49512821,48974792
4951282149292590,49512821,49292590
4951282149374750,49512821,49374751
4951282149458890,49512821,49458898
4951692948974790,49516929,48974792
4951692949292590,49516929,49292590
4953254749028480,49532547,49028480
4953254749030140,49532547,49030142
4953254749036710,49532547,49036716
4953254749056010,49532547,49056017
4953254749292590,49532547,49292590
4953254749401370,49532547,49401373
4953254749427860,49532547,49427867
4953254749444460,49532547,49444462
4953254749474680,49532547,49474684
4953254749480730,49532547,49480733
4953254749499250,49532547,49499253
4954151349292590,49541513,49292590
4954151349427860,49541513,49427867
4954151349480730,49541513,49480733
4954151349532540,49541513,49532547
4964017448974790,49640174,48974792
4964017449292590,49640174,49292590
4964017449374750,49640174,49374751
4964233449292590,49642334,49292590
4968189549214470,49681895,49214477
4968189549292590,49681895,49292590
4968189549331010,49681895,49331015
4968189549374750,49681895,49374751
4976963349292590,49769633,49292590
4977237249292590,49772372,49292590
4977592848879830,49775928,48879836
4977592848974790,49775928,48974792
4977592849085420,49775928,49085424
4977592849093350,49775928,49093357
4977592849098740,49775928,49098745
4977592849100320,49775928,49100320
4977592849101950,49775928,49101956
4977592849109770,49775928,49109772
4977592849120360,49775928,49120368
4977592849292590,49775928,49292590
4977592849778420,49775928,49778426
4977842648974790,49778426,48974792
4977842649085420,49778426,49085424
4977842649093350,49778426,49093357
4977842649098740,49778426,49098745
4977842649100320,49778426,49100320
4977842649101950,49778426,49101956
4977842649109770,49778426,49109772
4977842649115860,49778426,49115861
4977842649120360,49778426,49120368
4977842649250020,49778426,49250028
4977842649292590,49778426,49292590
4977842649778420,49778426,49778426
4978137548974790,49781375,48974792
4978137549292590,49781375,49292590
4980896448931790,49808964,48931792
4980896448946530,49808964,48946531
4980896449036710,49808964,49036716
4980896449065700,49808964,49065705
4980896449201950,49808964,49201957
4980896449223830,49808964,49223832
4980896449245620,49808964,49245622
4980896449250020,49808964,49250028
4980896449292590,49808964,49292590
4980896449310890,49808964,49310895
4980896449401370,49808964,49401373
4982151048931790,49821510,48931792
4982151048946530,49821510,48946531
4982151049036710,49821510,49036716
4982151049065700,49821510,49065705
4982151049201950,49821510,49201957
4982151049223830,49821510,49223832
4982151049250020,49821510,49250028
4982151049292590,49821510,49292590
4982151049401370,49821510,49401373
4982151049808960,49821510,49808964
4983354849292590,49833548,49292590
4983644248974790,49836442,48974792
4983644249292590,49836442,49292590
4983644249839790,49836442,49839793
4983979348974790,49839793,48974792
4983979349292590,49839793,49292590
4983979349373040,49839793,49373049
4983979349836440,49839793,49836442
4984183649124080,49841836,49124085
4984183649292590,49841836,49292590
4984756348974790,49847563,48974792
4984756349292590,49847563,49292590
4984756349399670,49847563,49399676
4999836948974790,49998369,48974792
4999836949292590,49998369,49292590
5000027948974790,50000279,48974792
5000027949292590,50000279,49292590
4937304949292590,49373049,49292590
4937475149144240,49374751,49144241
4937475149292590,49374751,49292590
4937475149326020,49374751,49326024
4937475149373040,49374751,49373049
4937671148974790,49376711,48974792
4937671149292590,49376711,49292590
4900781449003270,49007814,49003276
4900781449126370,49007814,49126378
4900781449292590,49007814,49292590
4900781449374750,49007814,49374751
4901133048974790,49011330,48974792
4901133049292590,49011330,49292590
4901324449292590,49013244,49292590
4901324449374750,49013244,49374751
4901324449427860,49013244,49427867
4901520648865320,49015206,48865325
4901520648974790,49015206,48974792
4901520649292590,49015206,49292590
4901755048992380,49017550,48992385
4901755049056010,49017550,49056017
4901755049063940,49017550,49063944
4901755049126370,49017550,49126378
4901755049292590,49017550,49292590
4901755049374750,49017550,49374751
4902205849292590,49022058,49292590
4902205849396590,49022058,49396593
4902205849836440,49022058,49836442
4902701248974790,49027012,48974792
4902701249292590,49027012,49292590
4902848048974790,49028480,48974792
4902848049292590,49028480,49292590
4903014248974790,49030142,48974792
4903014249292590,49030142,49292590
4903164048974790,49031640,48974792
4903164049292590,49031640,49292590
4903307249292590,49033072,49292590
4903307249427860,49033072,49427867
4903307249532540,49033072,49532547
4903671649292590,49036716,49292590
4904302349036710,49043023,49036716
4904302349292590,49043023,49292590
4904833849036710,49048338,49036716
4904833849292590,49048338,49292590
4905426648974790,49054266,48974792
4905426649292590,49054266,49292590
4905601748990330,49056017,48990338
4905601749126370,49056017,49126378
4905601749292590,49056017,49292590
4905601749374750,49056017,49374751
4905601749512820,49056017,49512821
4906394448974790,49063944,48974792
4906394449292590,49063944,49292590
4906570549292590,49065705,49292590
4906839648974790,49068396,48974792
4906839649292590,49068396,49292590
4907092948974790,49070929,48974792
4907092949292590,49070929,49292590
4907329149122220,49073291,49122229
4907329149126370,49073291,49126378
4907329149292590,49073291,49292590
4907329149374750,49073291,49374751
4907490449124080,49074904,49124085
4907490449292590,49074904,49292590
4921072749206740,49210727,49206742
4921072749250020,49210727,49250028
4921072749292590,49210727,49292590
4921072749341020,49210727,49341029
4921447749292590,49214477,49292590
4921736349292590,49217363,49292590
4922157848974790,49221578,48974792
4922157849292590,49221578,49292590
4922383249292590,49223832,49292590
4922597049292590,49225970,49292590
4922597049374750,49225970,49374751
4922794449292590,49227944,49292590
4923046649174730,49230466,49174736
4923046649292590,49230466,49292590
4923529549292590,49235295,49292590
4923529549841830,49235295,49841836
4923720549292590,49237205,49292590
4929883548974790,49298835,48974792
4929883549292590,49298835,49292590
4930210149292590,49302101,49292590
4930408648974790,49304086,48974792
4930408649292590,49304086,49292590
4930408649374750,49304086,49374751
4930738749126370,49307387,49126378
4930738749292590,49307387,49292590
4931089549036710,49310895,49036716
4931089549292590,49310895,49292590
4931412949292590,49314129,49292590
4931412949310890,49314129,49310895
4931727948974790,49317279,48974792
4931727949292590,49317279,49292590
4931883649126370,49318836,49126378
4931883649214470,49318836,49214477
4931883649292590,49318836,49292590
4931883649331010,49318836,49331015
4931883649374750,49318836,49374751
4932028749292590,49320287,49292590
4932263848974790,49322638,48974792
4932263849292590,49322638,49292590
4932263849326020,49322638,49326024
4932440749235290,49324407,49235295
4932440749292590,49324407,49292590
4932602449292590,49326024,49292590
4932602449322630,49326024,49322638
4932602449374750,49326024,49374751
4932602449439360,49326024,49439369
4933101549292590,49331015,49292590
4933101549374750,49331015,49374751
4933332949227940,49333329,49227944
4933332949292590,49333329,49292590
4933498848974790,49334988,48974792
4933498849292590,49334988,49292590
4933656149122220,49336561,49122229
4933656149126370,49336561,49126378
4933656149292590,49336561,49292590
4933656149374750,49336561,49374751
4933914048974790,49339140,48974792
4933914049126370,49339140,49126378
4933914049292590,49339140,49292590
4933914049374750,49339140,49374751
4934102949292590,49341029,49292590
4934297948974790,49342979,48974792
4934297949292590,49342979,49292590
4934462448974790,49344624,48974792
4934462449250020,49344624,49250028
4934462449292590,49344624,49292590
4934462449374750,49344624,49374751
4934462449808960,49344624,49808964
4934949949292590,49349499,49292590
4935093348852900,49350933,48852905
4935093348974790,49350933,48974792
4935093349126370,49350933,49126378
4935093349292590,49350933,49292590
4935463848974790,49354638,48974792
4935463849292590,49354638,49292590
4935463849374750,49354638,49374751
4935646048974790,49356460,48974792
4935646049127960,49356460,49127965
4935646049250020,49356460,49250028
4935646049292590,49356460,49292590
4935947149126370,49359471,49126378
4935947149174730,49359471,49174736
4935947149292590,49359471,49292590
4935947149374750,49359471,49374751
4936219548974790,49362195,48974792
4936219549292590,49362195,49292590
4936409048974790,49364090,48974792
4936409049292590,49364090,49292590
4936606149292590,49366061,49292590
4936750848974790,49367508,48974792
4936750849214470,49367508,49214477
4936750849292590,49367508,49292590
4937117749292590,49371177,49292590
4923921249292590,49239212,49292590
4924273548974790,49242735,48974792
4924273549292590,49242735,49292590
4924562248974790,49245622,48974792
4924562249250020,49245622,49250028
4924562249292590,49245622,49292590
4924562249808960,49245622,49808964
4925002848885670,49250028,48885670
4925002848907150,49250028,48907158
4925002848936490,49250028,48936496
4925002849242730,49250028,49242735
4925002849292590,49250028,49292590
4925739448885670,49257394,48885670
4925739448907150,49257394,48907158
4925739449250020,49257394,49250028
4925739449292590,49257394,49292590
4926417948931790,49264179,48931792
4926417948974790,49264179,48974792
4926417949085420,49264179,49085424
4926417949093350,49264179,49093357
4926417949098740,49264179,49098745
4926417949100320,49264179,49100320
4926417949101950,49264179,49101956
4926417949109770,49264179,49109772
4926417949120360,49264179,49120368
4926417949292590,49264179,49292590
4926417949374750,49264179,49374751
4926417949778420,49264179,49778426
4926686448912530,49266864,48912531
4926686449270570,49266864,49270572
4926686449292590,49266864,49292590
4927057249292590,49270572,49292590
4927209848974790,49272098,48974792
4927209849292590,49272098,49292590
4927376548974790,49273765,48974792
4927376549292590,49273765,49292590
4927376549374750,49273765,49374751
4927747749292590,49277477,49292590
4928091649292590,49280916,49292590
4928275348931790,49282753,48931792
4928275348974790,49282753,48974792
4928275349264170,49282753,49264179
4928275349292590,49282753,49292590
4928586749292590,49285867,49292590
4928586749841830,49285867,49841836
4928827148974790,49288271,48974792
4928827149292590,49288271,49292590
4928827149374750,49288271,49374751
4929116049292590,49291160,49292590
4929259049292590,49292590,49292590
4929528149292590,49295281,49292590
4918734948974790,49187349,48974792
4918734949292590,49187349,49292590
4918893049292590,49188930,49292590
4919023848919870,49190238,48919878
4919023849174730,49190238,49174736
4919023849206740,49190238,49206742
4919023849292590,49190238,49292590
4919023849341020,49190238,49341029
4919579149292590,49195791,49292590
4919745949292590,49197459,49292590
4920025549292590,49200255,49292590
4920195749036710,49201957,49036716
4920195749250020,49201957,49250028
4920195749292590,49201957,49292590
4920195749401370,49201957,49401373
4920674249250020,49206742,49250028
4920674249292590,49206742,49292590
4920674249341020,49206742,49341029
4945285248931790,49452852,48931792
4945285249036710,49452852,49036716
4945285249292590,49452852,49292590
4945285249458890,49452852,49458898
4945285249541510,49452852,49541513
4945285249642330,49452852,49642334
4945889848865320,49458898,48865325
4945889848974790,49458898,48974792
4945889849292590,49458898,49292590
4945889849374750,49458898,49374751
4946265149292590,49462651,49292590
4946265149374750,49462651,49374751
4946265149427860,49462651,49427867
4946465748974790,49464657,48974792
4946465749292590,49464657,49292590
4946720548974790,49467205,48974792
4946720549292590,49467205,49292590
4946881348974790,49468813,48974792
4946881349292590,49468813,49292590
4947048949292590,49470489,49292590
4947258448974790,49472584,48974792
4947258449292590,49472584,49292590
4947468449292590,49474684,49292590
4947654049056010,49476540,49056017
4947654049063940,49476540,49063944
4947654049292590,49476540,49292590
4937992449292590,49379924,49292590
4938146248974790,49381462,48974792
4938146249292590,49381462,49292590
4938298548974790,49382985,48974792
4938298549292590,49382985,49292590
4938530349292590,49385303,49292590
4938679648974790,49386796,48974792
4938679649292590,49386796,49292590
4938960249292590,49389602,49292590
4939224948974790,49392249,48974792
4939224949292590,49392249,49292590
4939397849292590,49393978,49292590
4939397849462650,49393978,49462651
4939659348974790,49396593,48974792
4939659349292590,49396593,49292590
4939967648974790,49399676,48974792
4939967649292590,49399676,49292590
4940137349292590,49401373,49292590
4940137349474680,49401373,49474684
4940447849292590,49404478,49292590
4940447849401370,49404478,49401373
4940447849474680,49404478,49474684
4940684249292590,49406842,49292590
4941080149292590,49410801,49292590
4941381448974790,49413814,48974792
4941381449292590,49413814,49292590
4941541949036710,49415419,49036716
4941541949056010,49415419,49056017
4941541949292590,49415419,49292590
4941541949427860,49415419,49427867
4941541949452850,49415419,49452852
4941541949499250,49415419,49499253
4941541949532540,49415419,49532547
4941918149292590,49419181,49292590
4942304149056010,49423041,49056017
4942304149126370,49423041,49126378
4942304149292590,49423041,49292590
4942304149374750,49423041,49374751
4942624249292590,49426242,49292590
4942786748992380,49427867,48992385
4942786749033070,49427867,49033072
4942786749036710,49427867,49036716
4942786749056010,49427867,49056017
4942786749292590,49427867,49292590
4942786749432590,49427867,49432599
4942786749435600,49427867,49435604
4942786749532540,49427867,49532547
4943259948974790,49432599,48974792
4943259949292590,49432599,49292590
4943560448974790,49435604,48974792
4943560449292590,49435604,49292590
4943740548974790,49437405,48974792
4943740549292590,49437405,49292590
4943936948974790,49439369,48974792
4943936949292590,49439369,49292590
4944265448974790,49442654,48974792
4944265449292590,49442654,49292590
4944265449439360,49442654,49439369
4944446249093350,49444462,49093357
4944446249292590,49444462,49292590
4944446249532540,49444462,49532547
4944872148974790,49448721,48974792
4944872149292590,49448721,49292590
4945096548974790,49450965,48974792
4945096549292590,49450965,49292590
