:VID(string),Name:string,Weight:double
49808964,rm_object,59670
49821510,rm_object_m,57375
49056017,WT_WORK_COMMANDS,41040
49681895,RUN_KITS,36600
49250028,rm_clients,36255
49257394,rm_clientst,33300
49174736,invoice_print_telaviv,32745
49181106,invoice_print_telaviv430535,32220
49452852,wt_leak_requests,32085
48879836,POPULATION_AUTHENTICATION,31650
48885670,RM_ACCOUNTS_by_contract,30735
49036716,WT_RETRO_ver2,30015
49190238,manalezor,29040
49048338,WT_RETRO_ver2_rachel,28680
48974792,TEMPLATE_10G,28275
49043023,WT_RETRO_ver2_old,25755
49344624,rm_sla_deb,25320
48919878,RM_DOCS_DEAL_INVOICES,24900
49022058,WT_PROCESS_RESULTS,24855
49326024,rm_potential_definition,24645
49230466,rm_agreement_payments,24270
49201957,payer_replacement,23760
49245622,rm_client_events,23700
49017550,WT_PROCESS_COMMANDS,23265
49427867,wt_gauges,23205
49444462,wt_karam_alerts,22695
49489264,wt_process_results_test,22515
49003276,WT_Import_Discounts,22410
49076655,clients_valid_sendtoprint,22380
49512821,wt_w_commands_sendtoprint,22080
49501962,wt_repair_reasons_for_debit,21945
49206742,payments_reception,21585
49217363,returned_payments,21525
49532547,wt_readings,21270
49419181,wt_free_sewage,21045
49111519,crm_request,20655
49841836,RM_DISP_PAYMENTS,20550
49415419,wt_detailed_errors,20520
49163933,fr_portions_details,20490
48928046,RM_ENTRIES_NEW,20445
49130803,fr_action,20415
49210727,payments_receptionTEST1,20355
49350933,rm_tags,19785
49307387,rm_invoice_mess,19560
49476540,wt_orders,19485
48955569,RM_TAX_RECEPTIONS,19440
49266864,rm_contract_acc,19245
49367508,rm_wf_requests,19200
48896826,RM_AUTO_LOAD_UPD_TOKENS_CHANGE,19155
48900293,RM_AUTO_LOAD_UPD_TOKENS_CHANGED,19155
48893357,RM_AUTO_LOAD_UPD_TOKENS,19155
49273765,rm_deal_tax_invoice,19110
49509152,wt_units_for_execute_cv,19020
49167794,fr_potential_process,18975
49007814,WT_Import_Discounts_new,18915
49033072,WT_RETRO,18780
49295281,rm_group_obj_codes,18690
49140676,fr_activity_folders,18675
49277477,rm_debit_codes,18660
49642334,wt_periodic,18495
49093357,crm_event,18405
48916425,RM_DEMAND_LETTERS,18120
49239212,rm_clearing_details,17925
48909146,RM_CLIENT_ARRNG,17580
49310895,rm_living_in_obj,17460
48941274,RM_LOCKS,17460
48980205,TEMPLATE_10G1,17355
49423041,wt_gauge_periodic_changes,17355
49298835,rm_hp_main,17250
49439369,wt_half_auto_letters,17205
49356460,rm_task_results,17085
49314129,rm_living_in_obj_NA,17085
49304086,rm_invoice_credit_msg,17040
48868171,FR_LEGAL_CLAIMS,16995
49458898,wt_leak_sendtoprint,16920
48854964,CREATE_CREDIT_MSG,16830
48933563,RM_INTERNET_ACTIONS,16815
49155494,fr_legal_proceeding,16680
49160818,fr_portions,16650
49396593,wt_calc_debit_rep,16620
48936496,RM_INTERNET_USERS,16605
49410801,wt_contract_details,16575
48871473,FR_LEGAL_PROCEEDING_MANAGE,16470
48992385,WT_GAUGES_NEw,16410
49134970,fr_action_hist,16335
49401373,wt_client_modify,16275
49282753,rm_define_confirmation,16260
49836442,wt_common_div_rep_new_view,16155
49144241,fr_check_potential,16080
49214477,report_run,16080
48925030,RM_ENTRIES_ACTIONS,15870
49486076,wt_process_commands_20141102,15855
49432599,wt_gauges_cross,15705
49242735,rm_client_address_hist,15600
49376711,status_process,15390
49127965,fr_accounts,15360
48969665,Rm_Deposit,15360
50000279,WT_PERIOIDC_FOR_CALC_HIST,15315
49080902,create_deal_invoice,15315
48865325,FR_FOLDER_ACTIONS,15300
49833548,rm_transmit,15240
49769633,WT_PUBLIC_USAGE,15165
49288271,rm_docs_voucher_letters,15120
49292590,rm_fields_permissions,15105
49264179,rm_confirmations_management,15045
49065705,Wt_Disc_Search_Creditor,14985
49197459,masab_repair,14925
49359471,rm_teleall_cred,14820
49778426,crm_requests_main,14820
49493910,wt_process_units,14730
49483389,wt_pricelist_simulation,14670
49000484,WT_IMP_DISC_CLIENTS_LETTERS,14625
49480733,wt_periodic_calc_building,14595
49393978,wt_assign_readings,14535
49085424,crm_client_request,14520
49389602,wt_activities_accounting,14505
49138111,fr_action_logic,14415
49068396,Wt_Karam_Meter_Handling,14355
49406842,wt_command_sub_types,14235
48874765,IRS_APPROVAL,14190
49227944,rm_activity_profiles,14160
49336561,rm_return_send_orders,13950
49015206,WT_PERIODIC_ERRORS,13935
49464657,wt_messages,13890
49386796,wt_DISAGREEMENT_ENTRIES,13770
48972335,Rm_LOAD_UPD_TOKENS_CHANGED,13755
49775928,crm_clients_valid,13620
49285867,rm_disp_deals,13485
49070929,acc_order,13455
49382985,update_action,13410
49124085,deal_cancel,13245
48877422,MASAB_files,13230
49115861,crm_requests,13020
49781375,rm_msg_template_results,12975
49404478,wt_client_modify_062014,12960
49496833,wt_readings_cancle,12915
49772372,Wt_not_for_debit_diff,12840
49331015,rm_process_results,12720
49448721,wt_karam_alerts_handling,12705
49221578,rm_CLIENT_ARRNG_HIST,12675
49320287,rm_municipalities,12675
49541513,wt_periodic_bilding,12645
48959528,RM_USER_GROUPS,12615
48914086,RM_DEALS,12585
49640174,wt_karam_requests,12420
49237205,rm_cash_users,12285
48953520,RM_SET_MSG_SCHEDULING,12030
48944522,RM_MSG_SCHEDULING,12000
49223832,rm_Cards_details,11895
48951498,RM_RETURN_DETAILS,11805
49302101,rm_interests,11775
49013244,WT_LOAD_COMMANDS,11730
49158781,fr_logic_address,11580
49364090,rm_user_controller,11565
49374751,sr_jobs_view,11550
48863369,FR_ACTION_RESULTS,11535
49225970,rm_accounting_acc_interface,11520
49437405,wt_gauges_maintenance,11505
49105710,crm_new_task,11475
49089101,crm_codes,11475
49011330,WT_LEAK_CONDITIONS,11445
49341029,rm_shva,11430
48983178,TEMPLATE_10G_Big,11430
49450965,wt_karam_alerts_handling_crm,11385
49998369,WT_PERIODIC_FOR_CALC_HIST,11385
49235295,rm_cash_closing,11340
49839793,wt_common_div_search,11325
49462651,wt_load_units,11310
49103614,crm_new_event,11295
49362195,rm_units,11220
48907158,RM_CLIENTS_HISTORY,11175
48990338,WT_COMMANDS_HASAVA_HIST,11145
49152041,fr_contractor_fee,11100
49280916,rm_decode,11025
49339140,rm_send_to_print,11025
49091382,crm_codes_params,10860
48861540,CRM_SUBJECT_STEPS,10860
48939429,RM_LOAD_DEBIT_FILES,10830
48949670,RM_REPORTS_QUEUE,10785
48903758,RM_BRANCH_CODES,10785
49122229,data_bank,10755
49442654,wt_half_auto_letters0912_update,10740
49470489,wt_net_details,10740
49516929,wt_wc_auto_comments,10680
49173028,fr_tender_result,10650
49054266,WT_UNIT_FOR_READING,10620
48858069,CRM_AUTOMATIC_CREATION,10590
49096964,crm_flow_comment_type,10590
49118601,crm_subject_steps_init,10590
49083689,crm_business_action,10590
49392249,wt_activities_reductions,10560
48998778,WT_HALF_AUTO_LETTERS_UPD,10485
49354638,rm_task_handler,10455
48946531,RM_OWNERS_HISTORY,10440
49120368,crm_tasks,10425
49074904,checks_4deposits,10425
48931792,RM_IMAGE_GLOBAL_FRM,10425
48859804,CRM_REQUEST_SUBJECTS,10395
49171285,fr_pricelist_steps,10395
49435604,wt_gauges_hist,10380
49150346,fr_contractor_employees,10380
49322638,rm_new_template,10365
49399676,wt_center_allocation_hist,10260
48986598,USERS_FRM,10260
49153875,fr_contractors,10245
49147183,fr_commission_by_city_region,10215
49373049,sr_batch_log,10185
49200255,outward_payments,10155
49472584,wt_net_groups,10140
49195791,manual_readings,10095
49272098,rm_daily_tasks,10050
49107848,crm_one_task,10020
49073291,bank_reception,9990
49028480,WT_READINGS_HASAVA_HIST,9945
49333329,rm_profiles,9945
49342979,rm_sla_codes,9915
48891665,RM_ADDRESS_TYPES,9900
49371177,rm_wt_net_history,9900
49413814,wt_contractor_users,9870
48995367,WT_GIS_ORDERS,9855
49474684,wt_online_reading,9825
49426242,wt_gauge_status_codes,9810
49101956,crm_messages,9690
49109772,crm_reminders,9645
48905578,RM_CATEGORY_CODES,9645
48997090,WT_GIS_READINGS,9630
49126378,file_transfer,9585
49334988,rm_relation_codes,9570
49187349,lock_code,9570
49324407,rm_open_cashes,9540
49063944,Work_commands_details,9510
49468813,wt_net_convert_meitav,9480
49381462,upd_value_date_group_code,9405
49098745,crm_inbox,9315
49506111,wt_sum_errors_by_unit,9285
49379924,streets_correction,9285
49317279,rm_locks_hist,9270
48912531,RM_CONTRACT_ACC_HIST,9270
48988531,WT_AREA_ANSWER_CODES,9210
49847563,wt_center_allocation,9150
49467205,wt_net_convert,9135
49366061,rm_vat_values,9135
49385303,users_hist_frm,9120
49030142,WT_READINGS_HASAVA_HIST_MEITAV,9105
49499253,wt_readings_hist,9045
49318836,rm_mimad,9045
49148876,fr_commission_by_city_region_z,9015
